"Business Name","Category","Area/Address","Phone","Rating","Reviews","Status","Priority Notes","Group"
"Aditya Plastic Industries Garbage Bags Manufactures","Manufacturer","IDA Kattedan Rd","090525 59052","4.8","32","Open","Actual manufacturer, not just trader","Manufacturer"
"Sri Padmavathi Enterprises","Manufacturer","Indira Park Rd","098490 63284","4.7","14","Open","","Manufacturer"
"Mahavir Plastic & Electronic Industries","Manufacturer","Kavadiguda","040 2460 2120","4.5","11","Open","","Manufacturer"
"Divyamrit Industries","Manufacturer","Jeedimetla Pipeline Rd","","5.0","10","Open","","Manufacturer"
"Kothari Plastic","Manufacturer","Feelkhana","093467 87346","3.9","9","Open","","Manufacturer"
"Polymer Industries India Ltd","Manufacturer","IDA Cherlapally","093913 78007","3.9","9","Open","Manufacturer in industrial belt, B2B","Manufacturer"
"Excel Woven Sacks Pvt Ltd","Manufacturer","IDA Jeedimetla","094409 66355","3.9","8","Open","Manufacturer in industrial belt, B2B","Manufacturer"
"Plastic Carry Bag Manufacturers","Manufacturer","Amberpet","","3.8","5","Open","","Manufacturer"
"Home Star Plastic Manufacturer","Plastic Wholesaler","Old Feelkhana, Begum Bazar","090142 85787","5.0","34","Open","","Wholesaler"
"SANGEETA PLASTIC AGENCIES","Plastic Wholesaler","Feelkhana","093945 43073","4.5","30","Open","","Wholesaler"
"Shriram Plastics","Plastic Bags Wholesaler","Charminar","040 2452 4809","4.2","15","Open","","Wholesaler"
"Sri Anand Plastic — check","Plastic Bags Wholesaler","Gowliguda","098662 72562","4.5","13","Open","Has an exportersindia.com profile only, not own website — still a real lead","Wholesaler"
"KLV ENTERPRISES","Plastic Wholesaler","Narsingi","089197 88500","4.9","11","Open","","Wholesaler"
"Mohini plastic","Plastic Bags Wholesaler","Begum Bazar","093933 39011","3.9","11","Open","","Wholesaler"
"Lakshmi Plastic","Plastic Wholesaler","Feelkhana","080997 84279","4.6","5","Open","","Wholesaler"
"Sri Praveen Plastic","Plastic Wholesaler","Begum Bazar","092480 02565","4.8","4","Open","","Wholesaler"
"Tulja bhavani plastic","Plastic Bags Wholesaler","Begum Bazar","098496 31624","5.0","2","Open","","Wholesaler"
"BOMBAY PLASTIC","Plastic Wholesaler","Begum Bazar","099590 67155","5.0","1","Open","","Wholesaler"
"Rajan Trading co","Plastic Wholesaler","Feel khana","","5.0","1","Open","","Wholesaler"
"Husainy Foam House","Plastic Products Supplier","Malakunta Road, Begum Bazaar","092921 06576","4.9","148","Open","Highest review count with no website — strongest single lead","Supplier"
"SSAVE SOLUTIONS","Paper bag supplier","Hyderguda Main Rd, Basheer Bagh","040 4261 1777","4.4","113","Open","High reviews, offers Delivery — good SEO/site candidate","Supplier"
"sri sai poly films","Polythene and plastic sheeting supplier","Baghlingampally, Chikkadpally","072878 78797","4.6","55","Open","","Supplier"
"Sri sai polymers and plastic dealers","Plastic Products Supplier","Begum Bazar","086865 19474","4.7","31","Open","","Supplier"
"Samad traders - plastic drum shop","Barrel supplier","Bazar Ghat","081426 63807","4.7","22","Open","","Supplier"
"Famous Plastics","Plastic Products Supplier","Begum Bazar","086868 66242","4.4","16","Open","","Supplier"
"Bhavani Plastics","Plastic bag supplier","Begum Bazar","040 2473 1507","4.5","16","Open","","Supplier"
"Ashoka Packaging","Plastic bag supplier","Begum Bazar","099082 99675","5.0","13","Open","","Supplier"
"New Fancy Plastic Mart","Plastic Products Supplier","Sultan Bazar","099492 67260","5.0","11","Open","","Supplier"
"National plastic","Plastic bag supplier","Pathar Gatti","098494 06602","3.9","8","Open","","Supplier"
"Gupta Plastics","Adhesives & Glue Supplier","Putlibowli","077992 25942","5.0","6","Open","","Supplier"
"Navdurga Plastics","Plastic bag supplier","Kachiguda","040 6588 9181","5.0","5","Open","","Supplier"
"Prathamesh Polythene Industries Pvt Ltd","Plastic bag supplier","Begum Bazar","098490 55004","5.0","4","Open","","Supplier"
"Vani Plastics","Plastic fabrication company","Begum Bazar area","040 2474 4864","3.6","30","Open","","Other"
"Jai Bhavani Plastics","Home goods store","Osmangunj","099839 21083","3.8","12","Open","","Other"
"Sun Plastics","Kitchen remodeler / plastics","Feelkhana","098490 19170","4.4","10","Open","15+ years in business","Other"
"Perfect plastics","Disposable Items shop","Begum Bazar","099086 15050","3.0","7","Open","","Other"
"Sri Plastic industries","Plastic fabrication company","Begum Bazaar, near High court post office","040 2461 4295","3.8","5","Open","","Other"
"Ambika Plastic House","Plastic fabrication company","Begum Bazar Rd","040 5582 8019","4.0","4","Open","","Other"
"Hyderabad Plastic Scrap Traders","Scrap metal dealer","Musheerabad","","5.0","3","Open","","Other"
"G B PLASTIC & KIRANA","Home goods store","Mir Chowk","070329 85374","4.7","3","Open","","Other"
"Tiger plastic","Market","Begum Bazar","","5.0","2","Open","","Other"
"Sri Sai Marketing","Plastic fabrication company","Basheer Bagh","040 2321 2126","5.0","2","Open","","Other"
"Krishna Plastics","Disposable Items shop","Bahadurpura","","3.0","2","Open","","Other"
"SRI MANOJ PLASTICS","B2B service","Rikab Gunj","095337 65500","5.0","2","Open","35+ years in business — established but zero web presence","Other"
"Popular Plastic Shop","General store","Begum Bazar","093819 20740","5.0","1","Open","","Other"
"Renuka plastic","Advertising agency (mislabeled)","Jiyaguda","090329 05981","5.0","1","Open","7+ years in business","Other"
"A. K. Plastic","Plastic fabrication company","Begum Bazar","","5.0","1","Open","","Other"
