Business Name,Category,Area/Address,Phone,Rating,Reviews,Status,Priority Notes,Group
Aditya Plastic Industries Garbage Bags Manufactures,Manufacturer,IDA Kattedan Rd,090525 59052,4.8,32,Open,"Actual manufacturer, not just trader",Manufacturer
Sri Padmavathi Enterprises,Manufacturer,Indira Park Rd,098490 63284,4.7,14,Open,,Manufacturer
Mahavir Plastic & Electronic Industries,Manufacturer,Kavadiguda,040 2460 2120,4.5,11,Open,,Manufacturer
Divyamrit Industries,Manufacturer,Jeedimetla Pipeline Rd,,5,10,Open,,Manufacturer
Kothari Plastic,Manufacturer,Feelkhana,093467 87346,3.9,9,Open,,Manufacturer
Polymer Industries India Ltd,Manufacturer,IDA Cherlapally,093913 78007,3.9,9,Open,"Manufacturer in industrial belt, B2B",Manufacturer
Excel Woven Sacks Pvt Ltd,Manufacturer,IDA Jeedimetla,094409 66355,3.9,8,Open,"Manufacturer in industrial belt, B2B",Manufacturer
Plastic Carry Bag Manufacturers,Manufacturer,Amberpet,,3.8,5,Open,,Manufacturer
Manoj Plastics,Manufacturer,"10, 5-127, Bhagat Singh Park, Lane",091604 48966,,,,,Manufacturer
premier plastic industries,Pipe Manufacturer,G6VC+FFW,040 2754 2096,4.3,3,Closed,,Manufacturer
Printed Shopping Bags Deton Plastic,Manufacturer,"12-2, 790/1, Mehdipatnam Rd",081250 06000,4.9,14,Open,,Manufacturer
Unique Plastic Industries — Plastic Manufacturer,Manufacturer,"19-5-39/4/A, NM Guda Rd",093982 14657,,,Closed,,Manufacturer
Attal Plastics - Bag Manufacturer,Manufacturer,"Barkatpura Main Rd, opp. Reddy Women's College",040 4222 0461,5,1,Closed,,Manufacturer
Kuber Packaging Industries,Manufacturer,"6-3-563, Erramanzil Colony Cir",079 4255 5836,4.1,11,Closed,,Manufacturer
Mysore Nandi Tarpaulins Mfg. Co.,Manufacturer,"5-201/1, 5, Lala Temple St",080 4861 4743,4.4,57,Closed,,Manufacturer
"Sudhakar Pipes ,Cables and Profiles",Manufacturer,"ramachandra house, Chapel Rd",1800 120 000 066,4.7,56,Closed,,Manufacturer
Kubher plastic industries,Manufacturer,"48,shed, Plot no 85,sy no, Rd Number 25",,,,Temporarily closed,,Manufacturer
CALCUTTA PLASTIC INDUSTRIES UNIT -2,Manufacturer,099638 51617,,,,Temporarily closed,,Manufacturer
Home Star Plastic Manufacturer,Plastic Wholesaler,"Old Feelkhana, Begum Bazar",090142 85787,5,34,Open,,Wholesaler
SANGEETA PLASTIC AGENCIES,Plastic Wholesaler,Feelkhana,093945 43073,4.5,30,Open,,Wholesaler
Shriram Plastics,Plastic Bags Wholesaler,Charminar,040 2452 4809,4.2,15,Open,,Wholesaler
Sri Anand Plastic — check,Plastic Bags Wholesaler,Gowliguda,098662 72562,4.5,13,Open,"Has an exportersindia.com profile only, not own website — still a real lead",Wholesaler
KLV ENTERPRISES,Plastic Wholesaler,Narsingi,089197 88500,4.9,11,Open,,Wholesaler
Mohini plastic,Plastic Bags Wholesaler,Begum Bazar,093933 39011,3.9,11,Open,,Wholesaler
Lakshmi Plastic,Plastic Wholesaler,Feelkhana,080997 84279,4.6,5,Open,,Wholesaler
Sri Praveen Plastic,Plastic Wholesaler,Begum Bazar,092480 02565,4.8,4,Open,,Wholesaler
Tulja bhavani plastic,Plastic Bags Wholesaler,Begum Bazar,098496 31624,5,2,Open,,Wholesaler
BOMBAY PLASTIC,Plastic Wholesaler,Begum Bazar,099590 67155,5,1,Open,,Wholesaler
Rajan Trading co,Plastic Wholesaler,Feel khana,,5,1,Open,,Wholesaler
A R PLASTIC HOUSE,Wholesaler,"Indian Overseas, S No 15-1-478/1, Bank Lane, beside ARC Transport",073965 08439,4.9,184,Closed,,Wholesaler
Supreme Plastics,Plastic Wholesaler,Bartan bazar,098492 93945,3.9,16,Open,,Wholesaler
Sri Balaji Plastics (Rajesh Rathi),Plastic Wholesaler,"10-6-29/A1, Fat̪eh Nagar Main Rd, near Flyover, opposite Prathiba College",098496 54095,5,1,Closed,,Wholesaler
Tirumala Plastics,Plastic Bags Wholesaler,"15-8-253/1, near Fish Market",040 2473 3016,3.2,12,Closed,,Wholesaler
Sri Anand Plastic,Plastic Bags Wholesaler,"Shop Number 15-3-23 , Besides Gurudwara, Maharani Jhansi Rd",098662 72562,4.5,13,Closed,,Wholesaler
Singh plastics,Cash and carry wholesaler,"15-7-616, opposite of Mata Temple",093916 33235,3.3,3,Temporarily closed,,Wholesaler
Sri Vijayalakshmi plastic House,Plastic Wholesaler,"shop no 15, Sukh shanti complex Shri market, 1-52",080058 54458,5,1,Temporarily closed,,Wholesaler
ANAND PLASTIC,Plastic Bags Wholesaler,"Begum bazar,fish market,opp.mahakali temple,Mohini complex",093501 81195,5,2,Temporarily closed,,Wholesaler
Husainy Foam House,Plastic Products Supplier,"Malakunta Road, Begum Bazaar",092921 06576,4.9,148,Open,Highest review count with no website — strongest single lead,Supplier
SSAVE SOLUTIONS,Paper bag supplier,"Hyderguda Main Rd, Basheer Bagh",040 4261 1777,4.4,113,Open,"High reviews, offers Delivery — good SEO/site candidate",Supplier
